,Title,sadness,anticipation,Fun,Love
16,it wont kill ya,2.0,1.0,0.0,0.0
80,talking to myself,2.0,1.0,0.0,0.0
117,club paradise,8.0,10.0,0.0,0.0
122,versace on the floor,1.0,4.0,0.0,0.0
156,sixteen,2.0,2.0,0.0,0.0
180,betrayed,4.0,2.0,0.0,0.0
193,japan,1.0,2.0,0.0,0.0
206,black spiderman,10.0,6.0,0.0,0.0
225,eleven,6.0,2.0,0.0,0.0
233,to die for,5.0,3.0,0.0,0.0
265,momentz,2.0,4.0,0.0,0.0
323,graveyard,3.0,1.0,0.0,0.0
336,love it if we made it,4.0,2.0,0.0,0.0
344,physical,1.0,2.0,0.0,0.0
381,use me,2.0,1.0,0.0,0.0
387,nights with you,5.0,1.0,0.0,0.0
418,living proof,0.0,2.0,0.0,0.0
439,shed a light,2.0,0.0,0.0,1.0
474,borderline,8.0,6.0,0.0,1.0
479,do you remember,0.0,1.0,0.0,0.0
483,u deserve it,1.0,4.0,0.0,1.0
485,we both know,1.0,1.0,0.0,0.0
515,roaring 20s,1.0,1.0,0.0,0.0
532,ball for me,3.0,4.0,0.0,0.0
556,hunger,4.0,3.0,0.0,0.0
569,run,0.0,0.0,0.0,0.0
589,refugee,3.0,1.0,0.0,0.0
599,business is business,9.0,8.0,0.0,0.0
627,the next best american record,1.0,3.0,0.0,0.0
638,make it rain,1.0,1.0,0.0,0.0
654,dont say you love me,0.0,3.0,0.0,0.0
664,secrets,4.0,4.0,0.0,1.0
682,revenge,8.0,8.0,0.0,0.0
713,only you freestyle,8.0,10.0,1.0,0.0
753,mary janes last dance,4.0,5.0,0.0,0.0
763,throw it away,1.0,1.0,0.0,0.0
771,breathin,0.0,1.0,0.0,0.0
821,nuh ready nuh ready,1.0,4.0,1.0,0.0
849,whos laughing now,5.0,1.0,0.0,1.0
861,body,1.0,3.0,0.0,0.0
865,nowadays,1.0,4.0,0.0,1.0
876,all around me,3.0,4.0,0.0,0.0
901,highway to hell,1.0,0.0,0.0,0.0
924,without you,1.0,0.0,0.0,0.0
927,strangers,4.0,2.0,0.0,1.0
951,tough love,2.0,3.0,0.0,0.0
969,walk em down,2.0,4.0,0.0,0.0
986,party girl,0.0,1.0,1.0,0.0
1013,introduction,2.0,6.0,0.0,0.0
1039,can i be him,2.0,4.0,0.0,1.0
1055,yikes,5.0,5.0,0.0,0.0
1059,the hills,1.0,1.0,0.0,0.0
1095,dont leave,3.0,2.0,0.0,0.0
1127,sorrows,2.0,0.0,0.0,1.0
1145,faking it,8.0,7.0,0.0,0.0
1192,pull up n wreck,8.0,6.0,0.0,0.0
1195,paradise,0.0,3.0,0.0,1.0
1228,houstonfornication,4.0,11.0,0.0,0.0
1300,come around me,1.0,2.0,0.0,0.0
1323,the good side,3.0,3.0,0.0,0.0
1339,culture,3.0,9.0,1.0,0.0
1377,the promise,3.0,5.0,0.0,1.0
1386,youngblood,1.0,4.0,0.0,1.0
1420,jaded,2.0,1.0,0.0,1.0
1447,on my way,0.0,1.0,0.0,0.0
1506,what makes a woman,2.0,1.0,0.0,0.0
1512,pov,2.0,1.0,0.0,0.0
1541,baguettes in the face,5.0,7.0,0.0,0.0
1548,it might be time,1.0,6.0,0.0,0.0
1587,yung bratz,6.0,1.0,0.0,0.0
1595,father of 4,1.0,8.0,0.0,0.0
1599,one day,4.0,2.0,0.0,0.0
1638,what am i,4.0,2.0,0.0,0.0
1651,feel something,2.0,0.0,0.0,0.0
1667,obey,5.0,5.0,0.0,0.0
1677,sweet creature,0.0,1.0,0.0,0.0
1712,diamonds,0.0,3.0,0.0,0.0
1716,no auto,5.0,1.0,1.0,0.0
1720,psycho,0.0,0.0,0.0,0.0
1755,find u again,3.0,2.0,0.0,0.0
1774,answerphone,4.0,0.0,0.0,0.0
1788,the man,3.0,3.0,0.0,0.0
1828,outnumbered,8.0,2.0,0.0,0.0
1836,esskeetit,2.0,2.0,0.0,0.0
1863,a thousand bad times,4.0,2.0,0.0,0.0
1895,anziety,10.0,12.0,0.0,0.0
1906,dancing on my own,3.0,1.0,0.0,0.0
1925,close my eyes,2.0,7.0,0.0,0.0
1928,faint,3.0,1.0,0.0,0.0
1965,otherside,2.0,3.0,0.0,0.0
2015,savage remix,8.0,9.0,0.0,0.0
2059,no brainer,4.0,4.0,0.0,0.0
2064,spicy,2.0,4.0,0.0,0.0
2086,little engine,7.0,4.0,1.0,0.0
2108,i feel it coming,1.0,2.0,0.0,0.0
2143,perfect,1.0,7.0,0.0,1.0
2162,sanguine paradise,4.0,5.0,0.0,0.0
2211,drowning,3.0,4.0,0.0,1.0
2233,223s,5.0,2.0,0.0,0.0
2241,startender,3.0,8.0,0.0,0.0
2256,hot now,2.0,5.0,0.0,0.0
2261,shameless,0.0,2.0,0.0,1.0
2263,forgiveness,6.0,10.0,0.0,0.0
2273,like it is,5.0,4.0,0.0,0.0
2286,love me more,2.0,1.0,0.0,1.0
2291,supastars,5.0,10.0,0.0,0.0
2324,we dont talk anymore,1.0,3.0,0.0,0.0
2359,diana,2.0,0.0,0.0,1.0
2371,girlfriend,1.0,1.0,0.0,0.0
2382,narrow road,1.0,0.0,0.0,0.0
2425,get money bros.,7.0,8.0,0.0,0.0
2512,gods plan,3.0,4.0,0.0,0.0
2513,dont leave me alone,1.0,2.0,0.0,0.0
2564,johnny b. goode,2.0,3.0,0.0,0.0
2589,kids see ghosts,1.0,5.0,0.0,0.0
2637,all the time,7.0,4.0,0.0,0.0
2654,pad lock,7.0,8.0,0.0,0.0
2658,feel me,0.0,2.0,0.0,0.0
2714,ocean eyes,1.0,0.0,0.0,0.0
2718,get me,0.0,2.0,0.0,1.0
2797,comethru,1.0,1.0,0.0,0.0
2810,normal people,1.0,1.0,0.0,0.0
